;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR
S2;Reposo_EEG _AO;30.91472764944148;31.70765583614489;40.06805772175928;142.89973875733017;16.18085150199385;15.633457461330426;28.6936327492749;111.87470440183583;27.660438580661978;31.215344471933676;38.58207389990887;139.42497051448382;24.84371506388991;28.312687394611505;36.25750854111467;121.10771424668738;29.17006776071286;29.047213532372826;44.63976761935368;155.53594057658103;36.74352649387787;37.84252506817275;47.36102361055129;156.12774592708985;34.46924443945875;37.0277280068159;47.21723561858415;151.1700148547498;30.814462544376937;28.65378384662096;44.65776100356076;152.05418747142204;31.429213471205074;30.095542888367184;43.84099543437862;143.17211852111691;30.272558093679166;34.61798845144845;42.72843646183707;125.76146318436497
S3;Reposo_EEG _AO;23.694675257651294;29.63182047880162;39.154460411237075;132.21452345766687;10.808140602962343;18.213876296521306;27.87688316286847;101.77840168971649;20.63360356587753;27.0948179005103;33.61571811250668;117.0255696566854;21.137165170950002;28.87141357736423;34.96242520537697;118.3066862878066;23.069459892346416;29.386194197461577;40.793804237299746;147.6300032411191;34.56006527044067;34.09306797650238;42.26517465608994;144.59855134149353;34.2635977367067;33.818973109099936;38.63933799968748;134.91045856796913;26.381974663510817;32.500484796821375;44.37015172377158;146.0511620080227;25.41113090776844;30.52186786394237;40.36244918279391;139.93830212648191;33.006353331971;32.2382555456932;33.9463124324679;107.80086359875966
S5;Reposo_EEG _AO;17.56332761846732;25.645788269234323;43.60733937917291;139.9324415157668;13.25828891875368;14.347660656786251;32.10135389856969;106.36437756736885;16.327188665778674;22.93205831838798;39.33164518686826;120.22001103497385;16.611611431811635;22.084587766928998;37.64271561414932;111.31236130779212;34.876164780197975;28.582125773615772;43.07107392622943;142.90868188290136;36.31408020403272;30.329593108938923;43.721766652849674;130.15092420369257;36.559450860886614;30.62259263724287;43.081216685518335;130.64482037912245;36.34368846761748;29.532184868063496;41.42564286954746;131.81892225021426;36.43048939370699;30.52275580829575;42.884019791556234;135.22465855072468;35.38234080914809;24.946049945001988;35.20499860947103;89.38610298249282
S7;Reposo_EEG _AO;29.949628192906488;30.39691347627549;39.73495235468176;132.26920243318702;20.30953242762918;17.471399586192383;31.911586506887307;108.1928477733218;26.93577076472342;27.779967497667833;35.97064475992094;120.93656123846844;27.380664226288676;27.909504551283234;38.96855024749664;124.249564250393;31.573579378344036;30.285742647578346;45.26881727128155;155.8434485484873;35.84870306299351;36.13982933016738;45.433646046817636;153.52798509311032;32.702581313137884;34.02386077350144;43.31388969239519;143.1662239633597;33.53463357100637;32.76401215181794;44.62660861443482;150.9799105060431;33.85763584743842;30.66730090266647;41.441044095584544;143.19341011274884;31.048547829925564;31.95981533154772;36.3688640342078;117.87813277434202
S10;Reposo_EEG _AO;26.31624507513329;28.859829024591868;42.81216702761221;135.33267538237317;11.51814885496005;17.563777727723792;33.94846918661813;108.63803858101903;22.13420727329423;24.502987052103123;34.70486707405938;124.4540309702505;24.401049469430603;29.51246152004655;38.473559376580255;123.60535534247458;28.58419197776348;32.266041297747705;46.481652195365115;160.3450283830294;33.803670132274476;35.199000396877956;42.5192423437052;152.90819041772426;38.19909460318688;37.3693102384495;44.653713967526045;150.91008670021358;28.62485485393465;33.11106232452221;42.89173012434769;150.65678178915476;28.897613911382734;30.064910095952325;42.203997644075194;143.77593003979987;30.853885621134182;31.07810708255429;33.47773367857371;116.75052588909963
S11;Reposo_EEG _AO;28.108956408475805;32.61885970158116;44.149096696310636;142.14134192218586;14.672142251620208;18.80855095224495;34.659337459559694;102.62744994552254;23.673422078119323;28.43931735575844;38.36074473215977;118.7019917439317;22.134614289748686;29.286706445566104;39.70245812885351;122.7428264262879;29.917700974356535;31.01024590033764;44.86319338463681;148.23096939267396;36.171628676616436;36.613352979832634;44.897672069689;142.7091401212099;32.09931086995738;33.755280115633525;44.19231213164015;140.8007875066652;31.763012426285574;33.070316166067855;43.19502678964271;140.70080123095872;31.615953275270705;31.31973534565231;44.23003532604498;140.7669769046626;28.804445942138845;30.596268493612012;36.31088403439796;108.66791730784503
S14;Reposo_EEG _AO;27.875530219139037;24.85037107497302;39.754602747315815;113.57150797191197;16.142718537748962;13.27076158002013;27.468602245088828;86.63774956476894;28.176364620772397;20.80354864421184;32.15891786668922;102.23218325102599;28.404139125045482;24.430242104958694;36.99374890969714;101.15362288010212;22.897392798380494;26.714666129005103;40.853357066160015;148.01055591645274;31.35105635471455;32.222493253342236;42.29723507525557;133.82465763537368;28.6527082784076;32.437290983953176;40.53634110704384;136.96887514085657;28.753809517209426;33.057426920302596;43.32854062713958;139.2040683469357;26.107820183313315;30.44297320728832;38.695934407187444;135.68326486425028;28.619681802774256;30.49714256969942;33.04338241550539;97.62489444749397
S15;Reposo_EEG _AO;25.874000285939104;28.365411081106547;43.18219808180949;141.8774484399612;11.78261419187781;12.049912341625781;28.085058712722613;102.15572582596526;19.409301499050716;24.13289246271119;36.17389388384383;123.70010941009097;19.793641007033347;21.231116766628695;32.18126203174443;107.8492428720781;27.332927987324464;26.420999424762805;41.37205273186269;147.49193170702904;34.37650682193649;34.47283460776682;44.57693469620644;149.70897600677364;31.951450135465812;33.16550302986148;40.650058466618546;128.82490376021528;30.899609341429937;28.298657267345394;42.20488934749497;143.071721318146;30.24493795577163;30.55636482532244;42.33543222951571;134.79384688110986;28.56533975906006;27.635413102936663;34.442294405428704;98.0559240715711
S16;Reposo_EEG _AO;27.572904873265056;27.609120333717765;37.51818857070342;137.05579520660427;12.137297953118068;16.897047188308132;25.06187941532882;106.03786791211647;19.142574065052706;26.095933885720484;32.53964299569284;127.05437825879571;27.648124982400354;27.14283226177066;34.52626125334666;110.62198521590571;20.21184460383222;30.059889215490912;40.83913027208976;151.30351211087793;25.817419006903606;34.90531701593392;42.133042059386206;153.01358231946801;29.605176331859305;33.5802074682596;42.48607029860943;138.6387869688981;30.890958623122934;32.90212187004052;42.48612857634112;149.44854864585028;19.84050979209931;29.52383093252437;40.40688419231896;149.14815096995537;23.211109770667846;31.17187127610558;36.65568003149442;122.39233684205823
S18;Reposo_EEG _AO;29.348071246393502;32.82552270330035;41.94390310826061;127.10710696335933;17.769578835820617;17.547182239413377;28.667564652526252;82.31741868508166;27.173409960785197;29.289332737001075;36.538689899098806;114.36930744386353;27.075321434326817;29.31858109411371;33.233923567398236;112.12236723642562;28.965925740213446;28.863055223279748;42.453235961516654;141.67323383087108;35.541259520108355;36.40479912024344;44.14712259413718;150.5770833589965;33.700336223701555;34.764565991548864;39.385367830678916;141.61995217199095;31.617715629522003;30.445998602683517;41.20491286720965;139.36192560317554;29.573716148629224;29.13091036108996;39.36734824852517;134.99598601031173;30.17370384327085;29.851759201372253;30.191639336997707;116.9509378012411
